ministerio,ministerio_corto,categoria,entidad
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Entidades Desconcentradas bajo dependencia,BOLIVIA EN EL MUNDO
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Entidades Descentralizadas bajo tuición,Orquesta Sinfónica Nacional
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Entidades Descentralizadas bajo tuición,"Centro de Investigaciones Arqueológicas, Antropológicas y Administración de Tiwanaku – CIAAAT"
MINISTERIO DE RELACIONES EXTERIORES,Relaciones Exteriores,Entidades Descentralizadas bajo tuición,Agencia del Desarrollo del Cine y Audiovisual Bolivianos – ADECINE
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Desconcentradas bajo dependencia,Gaceta Oficial de Bolivia
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Desconcentradas bajo dependencia,Unidad de Análisis
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Oficina Técnica para el Fortalecimiento de la Empresa Pública – OFEP
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Servicio Estatal de Autonomías – SEA
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Agencia de Gobierno Electrónico y Tecnologías de Información y Comunicación – AGETIC
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Servicio Plurinacional de Defensa Pública – SEPDEP
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Dirección del Notariado Plurinacional – DIRNOPLU
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Servicio Plurinacional de Asistencia a la Víctima – SEPDAVI
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Servicio Plurinacional de la Mujer y de la Despatriarcalización – SEPMUD
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Instituto Nacional de Reforma Agraria – INRA
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Entidad de Servicios Integrales de Acceso a la Justicia – ESIJ
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Despacho de Gestión Social de Su Excelencia – DEGSE
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Unidad de Comunicación Estratégica del Estado Plurinacional de Bolivia
MINISTERIO DE LA PRESIDENCIA,Presidencia,Entidades Descentralizadas bajo tuición,Observatorio Plurinacional de la Calidad Educativa – OPCE
MINISTERIO DE LA PRESIDENCIA,Presidencia,Empresas bajo sujeción,Empresa Estatal de Televisión Bolivia TV
MINISTERIO DE LA PRESIDENCIA,Presidencia,Empresas bajo sujeción,Editorial del Estado Plurinacional de Bolivia
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Desconcentradas bajo dependencia,Servicio Nacional de Patrimonio del Estado – SENAPE
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Desconcentradas bajo dependencia,Servicio Nacional del Sistema de Reparto – SENASIR
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Desconcentradas bajo dependencia,Unidad de Coordinación de Programas y Proyectos – UCPP
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Descentralizadas bajo tuición,Registro Único para la Administración Tributaria Municipal – RUAT
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Descentralizadas bajo tuición,Unidad de Investigaciones Financieras – UIF
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Descentralizadas bajo tuición,Instituto Nacional de Estadística – INE
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Descentralizadas bajo tuición,Unidad de Análisis de Políticas Sociales y Económicas – UDAPE
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Autárquicas bajo tuición,Banco Central de Bolivia
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Autárquicas bajo tuición,Aduana Nacional
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Entidades Autárquicas bajo tuición,Servicio de Impuestos Nacionales – SIN
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Empresas Públicas bajo sujeción sectorial,Depósitos Aduaneros Bolivianos – DAB
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Empresas Públicas bajo sujeción sectorial,Gestora Pública de la Seguridad Social de Largo Plazo – Gestora
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Empresas Públicas bajo sujeción sectorial,Administración de Servicios Portuarios – Bolivia – ASP – B
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Sociedades con participación accionaria del Estado bajo vinculación sectorial,Banco Unión S.A.
MINISTERIO DE ECONOMÍA Y FINANZAS PÚBLICAS,Economía y Finanzas,Sociedades con participación accionaria del Estado bajo vinculación sectorial,Banco de Desarrollo Productivo – Sociedad Anónima Mixta – BDP – S.A.M
MINISTERIO DE DEFENSA,Defensa,Entidades Desconcentradas bajo dependencia,Registro Internacional Boliviano de Buques – RIBB
MINISTERIO DE DEFENSA,Defensa,Entidades Descentralizadas bajo tuición,Escuela Militar de Ingeniería – EMI
MINISTERIO DE DEFENSA,Defensa,Entidades Descentralizadas bajo tuición,Servicio Nacional de Mejoramiento de la Navegación Amazónica – SEMENA
MINISTERIO DE DEFENSA,Defensa,Entidades Descentralizadas bajo tuición,Servicio Nacional de Hidrografía Naval – SNHN
MINISTERIO DE DEFENSA,Defensa,Entidades Descentralizadas bajo tuición,Servicio Nacional de Aerofotogrametría – SNAF
MINISTERIO DE DEFENSA,Defensa,Entidades Descentralizadas bajo tuición,Servicio Geodésico de Mapas – SE–GEOMAP
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Transportes Aéreos Bolivianos – TAB
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Corporación de las Fuerzas Armadas para el Desarrollo Nacional – COFADENA
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Empresa Naviera Boliviana – ENABOL
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Empresa Pública de Transporte Aéreo Militar – TAM
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Complejo Agroindustrial Buena Vista
MINISTERIO DE DEFENSA,Defensa,Empresas Públicas bajo tuición,Empresa Servicios Aéreos Bolivianos– ESABOL
MINISTERIO DE GOBIERNO,Gobierno,Entidades Desconcentradas bajo dependencia,"Dirección de Apoyo a la Prevención del Consumo de Drogas, Control del Tráfico Ilícito de Sustancias Controladas y Coca Excedentaria – DIPREVCON"
MINISTERIO DE GOBIERNO,Gobierno,Entidades Desconcentradas bajo dependencia,Dirección General de Migración – DIGEMIG
MINISTERIO DE GOBIERNO,Gobierno,Entidades Desconcentradas bajo dependencia,"Dirección General de Registro, Control y Administración de Bienes Incautados – DIRCABI"
MINISTERIO DE GOBIERNO,Gobierno,Entidades Desconcentradas bajo dependencia,Observatorio Boliviano de Seguridad Ciudadana y Lucha Contra las Drogas – OBSCD
MINISTERIO DE GOBIERNO,Gobierno,Entidades Descentralizadas bajo tuición,Consejo Nacional de Vivienda Policial – COVIPOL
MINISTERIO DE GOBIERNO,Gobierno,Entidades Descentralizadas bajo tuición,Servicio General de Identificación Personal – SEGIP
MINISTERIO DE GOBIERNO,Gobierno,Entidades Descentralizadas bajo tuición,Mutual de Servicios al Policía – MUSERPOL
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Servicio Nacional de Verificación de Exportaciones – SENAVEX
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Servicio Nacional de Propiedad Intelectual – SENAPI
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Instituto Boliviano de Metrología – IBMETRO
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,PRO – BOLIVIA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria – SENASAG
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Fondo Nacional de Desarrollo Integral – FONADIN
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,"Institución Pública Desconcentrada ""SOBERANÍA ALIMENTARIA"""
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Institución Pública Desconcentrada de Pesca y Acuicultura – PACU
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Unidad Ejecutora de Pozos – UE – Pozos
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Servicio Nacional de Áreas Protegidas – SERNAP
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Desconcentradas bajo dependencia,Unidad Operativa Boliviana – UOB
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Servicio de Desarrollo de las Empresas Públicas Productivas – SEDEM
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Insumos Bolivia – INBOL
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Zona Franca Comercial e Industrial de Cobija – ZOFRACOBIJA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Servicio Nacional Textil – SENATEX
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Servicio Plurinacional de Registro de Comercio – SEPREC
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Instituto Nacional de Innovación Agropecuaria y Forestal – INIAF
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Centro Internacional de la Quinua – CIQ
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Fondo de Desarrollo Indígena – FDI
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Servicio Nacional de Meteorología e Hidrología – SENAMHI
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Fondo Nacional de Desarrollo Forestal – FONABOSQUE
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Servicio Nacional para la Sostenibilidad de Servicios en Saneamiento Básico – SENASBA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Museo Nacional de Historia Natural
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Entidad Ejecutora de Medio Ambiente y Agua – EMAGUA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Oficina Técnica Nacional de los Ríos Pilcomayo y Bermejo
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Fondo Nacional de Desarrollo Regional – FNDR
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Fondo de Desarrollo Financiero y Apoyo al Sector Productivo – FONDESIF
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades Descentralizadas bajo tuición,Fondo Nacional de Inversión Productiva y Social – FPS
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades autárquicas bajo tuición,Autoridad Plurinacional de la Madre Tierra – APMT
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades autárquicas bajo tuición,Instituto del Seguro Agrario – INSA
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Entidades autárquicas bajo tuición,Servicio Nacional de Riego – SENARI
"MINISTERIO DE PRODUCCIÓN SOSTENIBLE, MEDIO AMBIENTE Y AGUA",Producción y Medio Ambiente,Empresas Públicas bajo sujeción sectorial,Empresa de Apoyo a la Producción de Alimentos – EMAPA
